image,roi1_mean,roi1_variance,roi1_std,roi1_coef_var,roi1_p10,roi1_p50,roi1_p90,roi2_mean,roi2_variance,roi2_std,roi2_coef_var,roi2_p10,roi2_p50,roi2_p90
CASE 1 (1).JPG,-0.02909239,0.031979997,0.17882952,-6.1469517,-0.238759,-0.04819864,0.18692008,0.23635638,0.018774271,0.13701923,0.57971454,0.081265524,0.21871586,0.3933572
CASE 1 (10).JPG,-0.03206493,0.031630974,0.17785099,-5.5465894,-0.23869172,-0.049845655,0.18434915,0.2545756,0.020990117,0.14487967,0.5691027,0.07321583,0.23137088,0.42682958
CASE 1 (100).JPG,-0.029543972,0.032539953,0.18038833,-6.1057577,-0.23914951,-0.05037617,0.18886673,0.24223182,0.020047177,0.14158805,0.5845147,0.076619655,0.22104757,0.39592674
CASE 1 (101).JPG,-0.027972788,0.032570228,0.18047224,-6.4517074,-0.238005,-0.048456453,0.1897913,0.2363939,0.01901937,0.13791074,0.5833938,0.07784644,0.21670613,0.39460126
CASE 1 (102).JPG,-0.027872788,0.032670228,0.18057224,-6.4516074,-0.237905,-0.048356452999999994,0.18989129999999999,0.23649389999999998,0.01911937,0.13801074,0.5834938,0.07794644,0.21680612999999999,0.39470126
CASE 1 (103).JPG,-0.032028355,0.031396423,0.17719036,-5.5322967,-0.24160616,-0.049219437,0.18229671,0.24004029,0.01991469,0.14111942,0.5878989,0.078053825,0.22168832,0.3979901
CASE 1 (104).JPG,-0.030545484,0.03129097,0.17689253,-5.791119,-0.23861761,-0.049412202,0.18263724,0.23560786,0.018964717,0.13771245,0.5844985,0.07324237,0.21590464,0.39045215
CASE 1 (105).JPG,-0.030445484000000002,0.031390970000000004,0.17699252999999998,-5.791019,-0.23851761000000002,-0.049312202,0.18273724,0.23570786,0.019064717,0.13781244999999998,0.5845985,0.07334237,0.21600464,0.39055215
CASE 1 (106).JPG,-0.03153702,0.03144938,0.17733973,-5.6232243,-0.24008606,-0.049895413,0.1817817,0.24032995,0.019879725,0.14099547,0.5866746,0.07489218,0.21710324,0.3960825
CASE 1 (107).JPG,-0.031437019999999996,0.03154938,0.17743973,-5.623124300000001,-0.23998606,-0.049795413,0.18188169999999998,0.24042994999999998,0.019979725,0.14109547,0.5867746,0.07499218,0.21720324,0.3961825
