image,ROI1_mean,ROI1_variance,ROI1_std,ROI1_coef_var,ROI1_p10,ROI1_p50,ROI1_p90,ROI2_mean,ROI2_variance,ROI2_std,ROI2_coef_var,ROI2_p10,ROI2_p50,ROI2_p90,ROI3_mean,ROI3_variance,ROI3_std,ROI3_coef_var,ROI3_p10,ROI3_p50,ROI3_p90
CASE 2 (1).JPG,-0.0798882,0.03328232,0.18243442,-2.2836215,-0.31648076,-0.089304894,0.13496417,0.0878754,0.023580762,0.15356028,1.7474774,-0.11110395,0.11240405,0.26612115,0.21332464,0.001962966,0.044305373,0.2076899,0.16997048,0.20148969,0.27836776
CASE 2 (10).JPG,-0.084054604,0.03392634,0.18419105,-2.1913261,-0.32355076,-0.093982406,0.13927072,0.09195074,0.025076346,0.15835513,1.7221736,-0.11217834,0.12258288,0.26165313,0.24337074,0.002993455,0.054712474,0.22481123,0.19692215,0.22019346,0.33779886
CASE 2 (100).JPG,-0.08086941,0.032713912,0.18086988,-2.2365675,-0.31465667,-0.09056635,0.13046163,0.08421197,0.023406498,0.15299182,1.8167467,-0.11383837,0.10729474,0.26302707,0.20235604,0.002062862,0.04541874,0.22444963,0.1561712,0.19123921,0.2703639
CASE 2 (101).JPG,-0.08703954,0.03139959,0.17719929,-2.0358481,-0.3178746,-0.09402814,0.11586857,0.07908198,0.0225683,0.1502275,1.8996426,-0.1170449,0.10140131,0.241242,0.20237964,0.0022733945,0.04768013,0.23559745,0.15317991,0.19147485,0.272812
CASE 2 (102).JPG,-0.08693954,0.03149959,0.17729929,-2.0357480999999997,-0.3177746,-0.09392814,0.11596857,0.07918198,0.0226683,0.1503275,1.8997426,-0.11694489999999999,0.10150131,0.241342,0.20247964,0.0023733944999999998,0.047780130000000004,0.23569745,0.15327991,0.19157485,0.272912
CASE 2 (103).JPG,-0.08191916,0.032128703,0.17924482,-2.1880693,-0.31233704,-0.092154026,0.13057998,0.08066819,0.020917362,0.14462836,1.7928797,-0.10865086,0.09886567,0.24402048,0.20054047,0.001890395,0.04347867,0.21680747,0.15778248,0.19030322,0.2558513
CASE 2 (104).JPG,-0.08181916,0.032228703000000004,0.17934482,-2.1879693,-0.31223704,-0.092054026,0.13067998,0.08076819,0.021017361999999998,0.14472836,1.7929797,-0.10855086,0.09896567,0.24412048,0.20064047,0.001990395,0.04357867,0.21690747,0.15788248,0.19040321999999998,0.2559513
CASE 2 (105).JPG,-0.080368675,0.03311379,0.18197195,-2.264215,-0.31721926,-0.0893233,0.13438548,0.084503695,0.023023622,0.15173537,1.7956063,-0.11308137,0.10814628,0.24722503,0.2064545,0.0019488953,0.044146296,0.21383063,0.16128603,0.19690117,0.26817465
CASE 2 (106).JPG,-0.080268675,0.03321379,0.18207194999999998,-2.264115,-0.31711926,-0.08922329999999999,0.13448548,0.084603695,0.023123622,0.15183537,1.7957063,-0.11298137,0.10824628,0.24732503,0.2065545,0.0020488953,0.044246296000000004,0.21393062999999998,0.16138602999999999,0.19700116999999998,0.26827465
CASE 2 (107).JPG,-0.08434535,0.032078527,0.17910479,-2.1234696,-0.31717637,-0.09113142,0.12146305,0.079532295,0.022469867,0.14989953,1.884763,-0.11614245,0.10219951,0.2415258,0.19678527,0.0018915727,0.043492213,0.22101356,0.15149768,0.18783325,0.25643465
CASE 2 (108).JPG,-0.08424535,0.032178527000000005,0.17920479,-2.1233695999999997,-0.31707637,-0.09103142,0.12156305,0.079632295,0.022569867,0.14999953,1.884863,-0.11604244999999999,0.10229951,0.2416258,0.19688527,0.0019915727,0.043592213000000005,0.22111356,0.15159767999999998,0.18793325,0.25653465
CASE 2 (109).JPG,-0.087138444,0.031585414,0.17772286,-2.039546,-0.31873927,-0.093845405,0.11560235,0.07947939,0.022348892,0.14949545,1.8809336,-0.114953674,0.10142976,0.24532191,0.20314746,0.0021275822,0.04612572,0.22705537,0.1549383,0.19318153,0.26782662
CASE 2 (11).JPG,-0.08943935,0.03325528,0.1823603,-2.038927,-0.32719594,-0.09702274,0.1283641,0.08184937,0.022474024,0.14991339,1.8315766,-0.11327559,0.11271264,0.23907161,0.23366548,0.0025973388,0.05096409,0.21810706,0.19046654,0.21498035,0.31059268
CASE 2 (110).JPG,-0.07851833,0.034294516,0.18518779,-2.3585293,-0.3184934,-0.090141356,0.14366664,0.08393934,0.023775626,0.15419348,1.836963,-0.115709044,0.106216036,0.26166588,0.19740866,0.0020761343,0.045564618,0.23081367,0.15151192,0.18677306,0.26566213
CASE 2 (111).JPG,-0.07841833,0.034394516,0.18528778999999998,-2.3584292999999996,-0.3183934,-0.090041356,0.14376664,0.08403934,0.023875626,0.15429347999999998,1.837063,-0.115609044,0.106316036,0.26176588,0.19750866,0.0021761343,0.045664618000000004,0.23091367,0.15161191999999998,0.18687305999999998,0.26576213
CASE 2 (112).JPG,-0.07830251,0.03389982,0.18411905,-2.351381,-0.31753403,-0.0890407,0.14314537,0.08351705,0.023255741,0.15249833,1.8259544,-0.11434138,0.10603431,0.25973925,0.19484329,0.0019318082,0.04395234,0.22557789,0.1521701,0.18534343,0.25359565
CASE 2 (113).JPG,-0.08441765,0.03370999,0.18360281,-2.174934,-0.32315913,-0.09408514,0.13512278,0.07183166,0.02184664,0.1478061,2.0576735,-0.12196224,0.09324287,0.2343629,0.18080251,0.0017497245,0.04182971,0.2313558,0.13818769,0.1724405,0.23836243
CASE 2 (114).JPG,-0.08431765,0.033809990000000005,0.18370281,-2.1748339999999997,-0.32305913,-0.09398514,0.13522278,0.07193166000000001,0.02194664,0.14790609999999998,2.0577735,-0.12186224,0.09334287000000001,0.2344629,0.18090251,0.0018497245,0.04192971,0.2314558,0.13828769,0.17254049999999999,0.23846242999999998
CASE 2 (115).JPG,-0.081270866,0.03284487,0.18123154,-2.2299695,-0.3164836,-0.090192676,0.13047773,0.08192524,0.02304651,0.15181077,1.8530401,-0.11509929,0.104793996,0.25545734,0.19301406,0.0018240379,0.042708755,0.22127277,0.15055452,0.18338847,0.25635007
CASE 2 (116).JPG,-0.08226249,0.03316362,0.1821088,-2.2137525,-0.31717226,-0.092939794,0.13204254,0.08032519,0.022676175,0.15058611,1.8747059,-0.11514427,0.097496405,0.25522137,0.19396494,0.001944849,0.04410044,0.22736295,0.14952162,0.18361247,0.2591337
CASE 2 (117).JPG,-0.08216248999999999,0.03326362,0.18220879999999998,-2.2136525,-0.31707226,-0.092839794,0.13214254,0.08042519000000001,0.022776175,0.15068610999999998,1.8748059,-0.11504427,0.097596405,0.25532137,0.19406494,0.002044849,0.04420044,0.22746295,0.14962161999999998,0.18371247,0.2592337
CASE 2 (118).JPG,-0.085754566,0.03297993,0.18160377,-2.1177156,-0.3217794,-0.09433614,0.13172773,0.088818505,0.024294026,0.15586542,1.7548754,-0.11188534,0.124299906,0.25966182,0.23288205,0.0026558691,0.051535126,0.22129282,0.18893965,0.21441248,0.31731406
CASE 2 (119).JPG,-0.08430106,0.034164287,0.18483584,-2.1925683,-0.32359606,-0.09471591,0.13876937,0.09005592,0.024643263,0.15698172,1.7431582,-0.111750446,0.12073096,0.26355892,0.23211968,0.0026045959,0.05103524,0.21986607,0.18785982,0.21270081,0.3185754
CASE 2 (12).JPG,-0.08933935,0.03335528,0.1824603,-2.038827,-0.32709594000000003,-0.09692274,0.1284641,0.08194937000000001,0.022574023999999998,0.15001339,1.8316766,-0.11317558999999999,0.11281264,0.23917160999999998,0.23376548,0.0026973388,0.05106409,0.21820705999999998,0.19056653999999998,0.21508034999999998,0.31069268
CASE 2 (120).JPG,-0.08420106,0.034264287000000004,0.18493584,-2.1924683,-0.32349606000000003,-0.09461591,0.13886937,0.09015592,0.024743262999999998,0.15708171999999998,1.7432582,-0.111650446,0.12083096,0.26365891999999996,0.23221967999999998,0.0027045958999999996,0.051135240000000005,0.21996606999999999,0.18795982,0.21280080999999998,0.3186754
CASE 2 (121).JPG,-0.08977713,0.032684524,0.18078862,-2.0137494,-0.3258833,-0.097171515,0.12570113,0.0833242,0.022753008,0.150841,1.8102903,-0.1116998,0.11482666,0.25271487,0.22710279,0.0024667138,0.04966602,0.21869402,0.18519455,0.20938903,0.3086917
CASE 2 (122).JPG,-0.08119252,0.03380522,0.18386196,-2.2645183,-0.3191729,-0.09182944,0.14101772,0.093641765,0.025072234,0.15834214,1.690935,-0.11016955,0.12810293,0.27233356,0.23940243,0.0028157292,0.053063445,0.22164957,0.19487593,0.21958095,0.32894146
CASE 2 (123).JPG,-0.08109252,0.03390522,0.18396195999999998,-2.2644183,-0.3190729,-0.09172944,0.14111772,0.093741765,0.025172233999999998,0.15844213999999998,1.691035,-0.11006955,0.12820293,0.27243355999999996,0.23950243,0.0029157292,0.053163445000000004,0.22174956999999998,0.19497593,0.21968094999999999,0.32904146
CASE 2 (124).JPG,-0.088063866,0.033427086,0.18283075,-2.0761154,-0.3261295,-0.09629327,0.12997462,0.08668405,0.0238732,0.15450954,1.782445,-0.11337344,0.11935782,0.25364766,0.24378951,0.002793562,0.052854158,0.21680243,0.19921419,0.22399165,0.33361086
CASE 2 (125).JPG,-0.087963866,0.033527086000000005,0.18293074999999998,-2.0760153999999997,-0.3260295,-0.09619327,0.13007462,0.08678405,0.0239732,0.15460954,1.782545,-0.11327344,0.11945782,0.25374766,0.24388950999999998,0.0028935619999999997,0.052954158,0.21690242999999998,0.19931419,0.22409164999999998,0.33371086
CASE 2 (126).JPG,-0.084269755,0.032137245,0.17926864,-2.1273189,-0.31786335,-0.09440987,0.13328247,0.08836276,0.024025733,0.15500237,1.7541595,-0.11280006,0.11777298,0.25786227,0.23457903,0.0029104077,0.053948194,0.22997876,0.18882467,0.21437985,0.3227827
CASE 2 (127).JPG,-0.084169755,0.032237245000000005,0.17936864,-2.1272189,-0.31776335,-0.09430987,0.13338246999999998,0.08846276,0.024125733,0.15510237,1.7542595,-0.11270005999999999,0.11787298,0.25796227,0.23467902999999998,0.0030104077,0.054048194,0.23007876,0.18892467,0.21447985,0.32288269999999997
CASE 2 (128).JPG,-0.08327668,0.033407543,0.1827773,-2.1948197,-0.32041115,-0.09217627,0.13684109,0.08406727,0.023236915,0.1524366,1.8132693,-0.11363113,0.11560788,0.24765511,0.21795462,0.0024800808,0.04980041,0.22848982,0.17504342,0.20175537,0.29855686
CASE 2 (129).JPG,-0.08788696,0.032761864,0.1810024,-2.059491,-0.32409918,-0.09509242,0.1292777,0.084856704,0.023118991,0.1520493,1.791836,-0.11276184,0.11657107,0.25601637,0.23323414,0.0029808818,0.054597452,0.2340886,0.186047,0.21357077,0.320407
CASE 2 (13).JPG,-0.08429998,0.03386915,0.18403573,-2.1831052,-0.32333174,-0.094656035,0.13856897,0.088016205,0.023679262,0.15388067,1.748322,-0.11168619,0.11964573,0.25355417,0.23553856,0.0025583303,0.05057994,0.21474165,0.19283663,0.21641588,0.3182376
CASE 2 (130).JPG,-0.08778696,0.032861864000000005,0.1811024,-2.0593909999999997,-0.32399918,-0.09499242,0.12937769999999998,0.08495670400000001,0.023218990999999998,0.1521493,1.791936,-0.11266184,0.11667107,0.25611637,0.23333414,0.0030808818,0.054697452,0.2341886,0.18614699999999998,0.21367076999999998,0.320507
CASE 2 (131).JPG,-0.07341769,0.032286037,0.17968316,-2.4474096,-0.3019499,-0.09050847,0.14668256,0.093199156,0.024742872,0.15729867,1.6877693,-0.109853104,0.112997815,0.28079218,0.22740439,0.0034802281,0.05899346,0.25942093,0.17932731,0.2050665,0.32401368
CASE 2 (132).JPG,-0.081841394,0.034157332,0.18481702,-2.258234,-0.32117525,-0.09236988,0.14310467,0.091612495,0.024463745,0.1564089,1.7072879,-0.1099465,0.11944107,0.2670645,0.23088624,0.0028338998,0.053234387,0.23056544,0.18467326,0.21196891,0.31695718
CASE 2 (133).JPG,-0.081741394,0.034257332,0.18491702,-2.2581339999999996,-0.32107525000000003,-0.09226988,0.14320466999999998,0.091712495,0.024563744999999998,0.15650889999999998,1.7073879,-0.1098465,0.11954107,0.26716449999999997,0.23098623999999998,0.0029338997999999996,0.053334387000000004,0.23066544,0.18477326,0.21206891,0.31705718
CASE 2 (134).JPG,-0.084959686,0.033230837,0.18229327,-2.1456442,-0.322049,-0.09396926,0.13530488,0.08847269,0.023378773,0.15290119,1.7282304,-0.109827474,0.11801879,0.26228425,0.22995986,0.0028177171,0.05308217,0.23083234,0.18357623,0.21031779,0.31425673
CASE 2 (135).JPG,-0.08386832,0.032980826,0.18160623,-2.1653736,-0.3191193,-0.093891785,0.13283774,0.07079984,0.020848317,0.14438947,2.0394037,-0.11909437,0.09104717,0.22923033,0.18046409,0.0015529919,0.039408017,0.21837041,0.14081493,0.17299616,0.23265396
CASE 2 (136).JPG,-0.08376832,0.033080826,0.18170623,-2.1652736,-0.3190193,-0.093791785,0.13293774,0.07089984,0.020948317,0.14448946999999998,2.0395037,-0.11899437,0.09114717,0.22933033,0.18056408999999998,0.0016529919,0.039508017,0.21847040999999998,0.14091493,0.17309616,0.23275395999999998
CASE 2 (137).JPG,-0.08203815,0.03287718,0.18132065,-2.210199,-0.3165053,-0.09136525,0.1323259,0.07455097,0.021423467,0.14636758,1.9633223,-0.11714062,0.0956106,0.24000436,0.18287818,0.001565962,0.03957224,0.21638578,0.14317286,0.17504655,0.23634267
CASE 2 (138).JPG,-0.0764633,0.033805054,0.18386151,-2.404572,-0.3142254,-0.08794531,0.14686316,0.08594272,0.023793945,0.15425286,1.7948333,-0.11337843,0.10804662,0.26713333,0.20051788,0.0016939029,0.041157052,0.20525378,0.15966435,0.1898886,0.26309997
CASE 2 (139).JPG,-0.0763633,0.033905054000000004,0.18396151,-2.4044719999999997,-0.3141254,-0.08784531,0.14696315999999998,0.08604272,0.023893945,0.15435285999999998,1.7949333,-0.11327843,0.10814662,0.26723333,0.20061788,0.0017939029,0.041257052,0.20535377999999999,0.15976435,0.18998859999999998,0.26319997
