image,roi,density,determinant,mean_eigen,min_eigen,max_eigen,mean_distance,variance_mean,range_mean
CASE 2 (1).JPG,1,204,5.658875993269688,14.35667525295557,0.19203265647426412,42.17935028002146,4.697135789089662,14.286299393872463,12.130420477987416
CASE 2 (1).JPG,2,152,349.32987043488055,18.447472563106558,1.6355944637217839,49.38174836512819,5.850232309080597,18.326107612033475,14.245322704288634
CASE 2 (1).JPG,3,47,9.943759744132015,3.092762424029514,0.6061392388794891,5.884125295535728,2.424065365738011,3.0269589681990987,9.06531257618335
CASE 2 (10).JPG,1,25,489.8710087859215,33.09872443795872,1.1597909273675275,93.62499388101628,7.4480252392846005,31.774775460440367,14.433844302471025
CASE 2 (10).JPG,2,121,412.0913706961906,14.08917033117288,1.815275655699796,33.719920940565004,5.111695379254474,13.972730906948316,14.063235355894152
CASE 2 (10).JPG,3,90,23.178411819183747,6.133464511269668,0.8822122416251988,15.861809331909575,3.4971733348353875,6.065314905588894,9.021620288415592
CASE 2 (100).JPG,1,82,0.026554980856103087,1.9851498754601022,0.016154538558629555,5.648266073418804,1.691582381279127,1.960940730637418,4.838127799619715
CASE 2 (100).JPG,2,240,423.48291894418554,17.41067732626477,1.207016073787757,42.834082955561485,5.761360644361797,17.338132837405347,14.610945929570605
CASE 2 (100).JPG,3,90,0.08561865865127136,2.893750434895542,0.014092485815545544,7.897906477996422,2.0820242746421824,2.8615976522855884,5.252484990773474
CASE 2 (101).JPG,1,55,5.293092741275876,12.284881735435642,0.31070960073655574,36.07166750578175,5.714047343819124,12.061520249336803,10.151130943548539
CASE 2 (101).JPG,2,109,19.691130630830198,7.257116895107285,0.5161499331371605,19.276060878347305,4.046367648983826,7.190537841023736,11.341731791937882
CASE 2 (101).JPG,3,42,4.262054264341783,9.760578122390369,0.08208679198596258,27.297600705247557,4.2491147518019305,9.5281834051906,9.29670994387638
CASE 2 (102).JPG,1,55,5.293092741275876,12.284881735435642,0.31070960073655574,36.07166750578175,5.714047343819124,12.061520249336803,10.151130943548539
CASE 2 (102).JPG,2,109,19.691130630830198,7.257116895107285,0.5161499331371605,19.276060878347305,4.046367648983826,7.190537841023736,11.341731791937882
CASE 2 (102).JPG,3,42,4.262054264341783,9.760578122390369,0.08208679198596258,27.297600705247557,4.2491147518019305,9.5281834051906,9.29670994387638
CASE 2 (103).JPG,1,42,0.0002035829394115243,2.0870886978217578,0.0002467280612012849,6.1263334433787415,1.847218461852717,2.037396109778384,3.3237676184279574
CASE 2 (103).JPG,2,326,214.6412397450668,14.19190612552871,1.0803180706516802,35.97214389314758,5.228634141259218,14.148372671155917,14.759888987160098
CASE 2 (103).JPG,3,13,0.0030268669543185465,1.631714769658119,0.0024752395752388992,4.62846525461149,1.5350874218560546,1.5061982489151873,3.8678881070319466
CASE 2 (104).JPG,1,202,1.169883617876013,1.9477300961323134,0.3747535233633658,4.820892455146141,1.8854821590064108,1.938087867933639,6.01349676171824
CASE 2 (104).JPG,2,149,1452.9332916951769,27.25930895152737,2.027294406212028,69.4278957394748,8.319789719321536,27.076360569302366,14.84886967512645
CASE 2 (104).JPG,3,13,1.7081222401341931,12.940127971272908,0.09483966690902199,38.25473637693266,5.514249364644102,11.944733511944227,6.152401070704531
CASE 2 (105).JPG,1,202,0.7227737196279387,1.5771878251704408,0.2866327742698487,3.7773770633541095,1.6405536046022895,1.5693799646497943,5.277386884296633
CASE 2 (105).JPG,2,283,2291.4484680282617,33.50911228604232,2.0271140439817064,85.23863859160353,9.182913823405196,33.390705528847825,14.862523667988079
CASE 2 (105).JPG,3,13,0.36889092971967435,11.414037941649298,0.058394513844770755,33.997907316971926,5.149169188706102,10.536035023060892,5.360329681269306
CASE 2 (106).JPG,1,11,1.8165790812725882,9.677538358296994,0.15430990232080918,28.464730981694764,3.0419550003503515,8.797762143906363,10.014975693760672
CASE 2 (106).JPG,2,65,318.26699693634805,24.182392920332557,1.6003467301134517,68.02321582932272,7.839800922841439,23.8103561061736,13.612251431033942
CASE 2 (106).JPG,3,16,165.9095839381583,18.057329392848953,1.1308112360927023,50.11347514804508,5.748747576209908,16.928746305795894,13.382724308621349
CASE 2 (107).JPG,1,11,0.5330689729264415,5.054862626081168,0.10005544005429329,14.702154528252334,2.2562072416150887,4.595329660073792,8.025913811376219
CASE 2 (107).JPG,2,65,49.16745187332493,13.015522767081372,0.7458660230425119,36.494399037648556,5.509712524104965,12.81528395528013,11.596432947367973
CASE 2 (107).JPG,3,16,35.789419565145536,10.569284911781361,0.4323010466949206,28.35594803336643,4.401629527006666,9.90870460479503,11.193634220953419
CASE 2 (108).JPG,1,194,0.823240379553795,3.138382856502846,0.10730402751382179,8.393836219363692,2.0837003846560993,3.1222056252837596,6.793134110549055
CASE 2 (108).JPG,2,334,927.8279813664582,20.54005449673108,1.6407827069942535,48.26269346491278,6.517484704951278,20.47855732757918,14.528730473058838
CASE 2 (108).JPG,3,15,4.969301521294994,6.805869919968949,0.08908733358830687,17.05861347836241,3.5345190542977574,6.352145258637692,6.846217803956807
CASE 2 (109).JPG,1,194,4.02283686050702,3.604444429251988,0.45765006084033255,9.42281993411326,2.323145290799881,3.5858648187919244,7.180577420435533
CASE 2 (109).JPG,2,258,992.3714239366192,21.12018652469811,1.8092406770103624,50.74162059865881,7.100416495271339,21.038325336617874,14.825686670799891
CASE 2 (109).JPG,3,15,7.494916924822088,7.457668222143204,0.11671994263576896,18.849717992345063,3.6796979859666843,6.96049034066699,7.240986585877578
CASE 2 (11).JPG,1,13,0.00012403295030627548,0.8359997645675192,0.0008231025715336103,2.4455585525787953,1.3304401252439246,0.7716920903700174,1.8050173417802446
CASE 2 (11).JPG,2,68,354.81172928890965,27.921985812338363,0.9583988721357848,78.06520220761394,7.1453012555465625,27.511368373921623,13.925073614675881
CASE 2 (11).JPG,3,106,119.21143613061227,20.733022907203203,0.6206085224469161,58.28266044661293,7.309148582488604,20.537428351474883,13.629089443799323
CASE 2 (110).JPG,1,48,0.0005524307593298201,1.7656291739474381,0.00018323021918823868,4.648055790759121,1.6347322888089604,1.728845232823532,3.8305565689731274
CASE 2 (110).JPG,2,497,512.9494885662643,22.42957978322946,1.2278477682848474,58.97745429468302,6.7377325586287435,22.384449844027795,14.975227911679568
CASE 2 (110).JPG,3,16,0.02711555929064353,3.918048399252585,0.0011893977855993443,9.302156104197085,3.1223206686232485,3.6731703742992976,4.093889246492751
CASE 2 (111).JPG,1,64,0.087598437372414,6.114408268002492,0.008173457582482306,17.7305916939811,2.87864251074471,6.018870638814957,6.8871494661659005
CASE 2 (111).JPG,2,370,952.7873109972259,32.4264003434975,1.6320343250980593,89.0945374157211,9.103900267671795,32.33876142365022,14.965432962428508
CASE 2 (111).JPG,3,65,575.8761956684009,15.596579511499364,1.516910662563882,34.15898830338523,4.987088033765915,15.356632134399376,14.89195927491692
CASE 2 (112).JPG,1,8,0.00340346134732258,3.161219426816336,0.0006511476258625326,8.895416195562174,2.385359228384395,2.766066998464293,3.8078450673600552
CASE 2 (112).JPG,2,164,223.2690476573316,11.989355623862757,1.0857796124630184,27.369049745696458,4.892376930697446,11.916249796887977,14.737898196142273
CASE 2 (112).JPG,3,6,1.4372287576794936e-05,5.29958166326404,2.6017774911751285e-05,15.86389760245571,3.4315090421091257,4.4163180527200305,3.6494273849092203
CASE 2 (113).JPG,1,190,27.440665631595085,20.948420470675856,0.26669461351817847,60.88873512801544,6.731504643650635,20.838165626093343,14.261067461970901
CASE 2 (113).JPG,2,144,138.9290931820581,9.957360871910986,1.7607456795984378,24.948705753656363,3.9878461580284625,9.88821253252271,14.700090605824142
CASE 2 (113).JPG,3,18,1026.4051653767688,49.098183232765734,1.419858266504668,140.73825800684713,11.370763816437568,46.370506386500956,14.330269046282616
CASE 2 (114).JPG,1,62,10.264390752346678,17.17955081958147,0.21994542282197727,50.39262107555033,5.802579399389007,16.902461290233376,13.394344543082504
CASE 2 (114).JPG,2,163,67.61454414966369,7.446317899832965,1.6226905720291753,18.458916773177073,3.5345504434120145,7.400634967932149,14.267397460845382
CASE 2 (114).JPG,3,34,236.13146477813848,33.43958860412488,1.0158310172088694,96.90415720441149,9.522842410191267,32.456071292238825,11.902557402344868
CASE 2 (115).JPG,1,74,31.683570531008147,21.00056484267834,0.19136733981992568,60.05337737068525,6.435248830856337,20.716773425885407,13.768989709024112
CASE 2 (115).JPG,2,166,234.21241561131237,9.21039547174345,1.9224273786629795,19.442510244197706,4.077354835925453,9.1549111616727,14.685803554255179
CASE 2 (115).JPG,3,47,120.31877305577841,31.477798111089715,0.6841176777983858,91.8341460812799,9.17162801496412,30.80805772574737,11.873259127564344
CASE 2 (116).JPG,1,138,629.402704549764,20.04531074872961,1.2265488295231428,48.28099081738263,6.403598074860046,19.90005487373881,14.685714459979982
CASE 2 (116).JPG,2,297,112.67061977648099,8.341970723874558,1.828952557087632,20.13784914757479,4.277737101788676,8.31388328035983,14.019084646678069
CASE 2 (116).JPG,3,194,1.2072976729381504,3.1150468692702287,0.09563341674462782,7.585179551302119,2.7499796361368634,3.098989926645124,5.9789638120983275
CASE 2 (117).JPG,1,122,188.41345788992058,13.807718183375899,1.0927095023333135,35.46909242276846,4.765498664266383,13.694540165479376,13.293560112084245
CASE 2 (117).JPG,2,145,268.093689348963,14.80226760483002,1.7602232703226106,38.712253173719525,5.5205720386279085,14.70018300065878,13.448600872039767
CASE 2 (117).JPG,3,185,210.99843165154644,22.410512441741194,1.2150088621362698,63.27186470515395,7.256150171004619,22.289374536650698,13.404450182661611
CASE 2 (118).JPG,1,122,225.07714692874325,16.416236341588753,1.0733437912344985,43.33656029296719,5.75473289808369,16.281677027313446,13.093891793252467
CASE 2 (118).JPG,2,145,306.34018230774154,18.648710043143073,1.8653552213896447,50.85123294437046,6.570979721052271,18.5200982497421,13.109672590811222
CASE 2 (118).JPG,3,185,152.05643155805205,25.772458830129455,1.0231710735185946,74.29386652172128,8.079829233041988,25.633148241858482,13.274465170196189
CASE 2 (119).JPG,1,181,176.83740276733585,15.443248548474132,1.3992469246311814,41.91536547484839,5.619818224959142,15.357926733289188,13.86714222378078
CASE 2 (119).JPG,2,184,1141.8101492286673,45.51852705572407,2.0841690742716907,130.2657867119269,11.162264803979674,45.2711437565081,14.765666424478058
CASE 2 (119).JPG,3,147,123.14646615547167,18.596688748473586,0.8026780548770367,52.03923777659253,4.89595413624638,18.47018066174927,14.46955185770922
CASE 2 (12).JPG,1,27,0.03169134939764358,1.8066663551576294,0.005023486954966572,3.7183559202304295,2.0531585880499534,1.739752786448088,3.7419205561481577
CASE 2 (12).JPG,2,335,256.773127624091,23.631553021646067,1.3753103209916144,66.72110434652386,7.825728109192572,23.561011072327727,14.548652786446462
CASE 2 (12).JPG,3,37,0.04071168120583588,2.313861088028153,0.0037447444190439327,4.546748546426568,2.5162560557483986,2.2513243018652283,3.786514845836731
CASE 2 (120).JPG,1,152,191.1439962607578,14.590808593182402,1.2791092851514831,38.62438111159981,5.049592480425686,14.494816431385145,14.329410376370378
CASE 2 (120).JPG,2,107,775.2052846453089,25.68974244965366,2.019620265809687,69.52908031758648,7.569954187670509,25.44965139872231,14.528130193842536
CASE 2 (120).JPG,3,134,8.95781450336205,3.7691055394276343,0.873968520645383,9.335424258238348,2.0069798069964198,3.7409778861483205,13.473855343589959
CASE 2 (121).JPG,1,77,43.87439713993205,7.933710428313944,1.097074666167261,20.779455116383506,3.874639361367782,7.830675227946229,11.663377541513574
CASE 2 (121).JPG,2,183,169.0618137704369,22.73393028275075,1.061628058973774,64.67800123785298,7.438420898990658,22.60970115552256,13.72562423331126
CASE 2 (121).JPG,3,150,0.2897162680584002,2.9696882538674925,0.04841812657785789,8.124119786888864,2.484405760922548,2.9498903321750434,8.39384487544474
CASE 2 (122).JPG,1,77,105.29721336659716,8.626728754736371,1.683288059481203,21.25366555188329,3.9336145411532724,8.514693316363175,13.12302220033341
CASE 2 (122).JPG,2,183,836.2946231166102,26.927747296102314,1.7200016061951762,72.34216175325213,7.654762651056519,26.78060113601433,14.732365881965421
CASE 2 (122).JPG,3,150,1.1689412242667567,2.52794062237796,0.24008052115232986,6.6067777179350795,2.2573387914806102,2.511087684895441,7.329482343890311
CASE 2 (123).JPG,1,45,33.03867781197787,8.924030574702297,0.861084734959796,24.33427314411844,3.5707549727503936,8.725718784153356,13.515440388043237
CASE 2 (123).JPG,2,87,155.1924437251447,19.86327537752113,1.3442464023503344,56.190990529445656,5.897600461125591,19.634961867434686,13.764061218515808
CASE 2 (123).JPG,3,149,84.81244642923849,12.424001197566755,0.834003879114715,33.392623284573276,5.325883983573904,12.34061863919383,13.504307419302094
CASE 2 (124).JPG,1,199,11.9403445237299,6.222016286651186,0.5273565618097973,16.790172436396936,3.6865749753121198,6.190749873150423,11.015435898973129
CASE 2 (124).JPG,2,381,911.8439256782199,41.27552180984459,1.2238383370559676,116.1902352619148,10.502550154978048,41.16718710693158,14.784281017784501
CASE 2 (124).JPG,3,172,31.381419100214195,5.53782841708293,1.179927776917138,13.457216287922856,2.4456079653994007,5.505631740239426,14.699061617559218
CASE 2 (125).JPG,1,281,319.0961036055897,35.73902767378011,0.8966748694858703,102.86072009311187,9.655663944706202,35.61184252191613,14.542072481080874
CASE 2 (125).JPG,2,158,1170.220512370482,34.61456966430271,1.6953059496184653,94.87263840391424,8.886103270189102,34.39549010946535,14.672404699738388
CASE 2 (125).JPG,3,233,23.09616971085788,5.729884017359062,1.1746009749974948,14.675169285347033,3.325871599238973,5.705292240460523,14.635208364111046
CASE 2 (126).JPG,1,346,141.9552807583881,22.890066053724514,1.021637298712636,65.52811525778779,7.189201277241314,22.82390979345362,14.525351126190577
CASE 2 (126).JPG,2,269,721.6480858455519,34.44831229193696,2.1485357570045114,97.76067376874857,8.766518844292568,34.32025165144652,14.758846529580188
CASE 2 (126).JPG,3,115,105.28510153199596,19.6521654011732,1.0397219625589276,56.11212421342864,4.983247449296942,19.4812770063804,14.52675665395825
CASE 2 (127).JPG,1,373,161.09801831806706,16.62171264543053,1.20894224081354,45.74306918703241,6.128893528902795,16.577150413137144,14.646555995646283
CASE 2 (127).JPG,2,374,736.5958594253733,37.188834666891616,1.8690319723497104,105.97874970323299,10.003060253798125,37.089399280081786,14.764734263911238
CASE 2 (127).JPG,3,137,334.8722776629998,34.57600804655306,1.2672992390658782,99.81337540449007,8.614611756479576,34.323628425775304,14.913330956304291
CASE 2 (128).JPG,1,180,293.9158550488562,51.5301655160684,0.855329126448746,151.46648765194692,12.088916236441436,51.24388681875694,14.819962583754581
CASE 2 (128).JPG,2,373,457.5208288703645,21.486393616713684,2.0395736386927297,58.59100229378567,6.756518965909654,21.428789344282816,14.915950954268176
CASE 2 (128).JPG,3,186,157.1791039094706,16.943918639913964,1.3166288727219075,46.97370608454376,6.505278492269502,16.85282230314024,14.63779380644163
CASE 2 (129).JPG,1,184,311.78256540389157,47.33565745076302,0.9068614621728904,138.61991925717393,11.567619155948769,47.07839844287842,14.856658026982574
CASE 2 (129).JPG,2,374,487.50780642826624,18.14136307433624,2.036967145310382,47.330552648235226,5.801036454728898,18.092856755955648,14.826934701323323
CASE 2 (129).JPG,3,186,187.72254563122632,14.413255443004365,1.9081768867926239,38.7958006078176,5.651193712045185,14.335764822343046,14.308058845604714
CASE 2 (13).JPG,1,27,0.048750557914909745,1.9885139268509224,0.006773169861442163,4.275197655543565,1.8196186145012194,1.9148652628934808,4.766585976277
CASE 2 (13).JPG,2,249,927.5014612996645,28.88672812534295,1.4374094586991415,76.82353868432558,7.970707844157987,28.77071716901626,14.506467406902503
CASE 2 (13).JPG,3,37,0.08745847544209832,2.129883364188897,0.00882586615959946,3.7094431388403177,2.177484904184176,2.072318948940548,4.753822114579348
CASE 2 (130).JPG,1,140,131.45507892938696,8.729544961592502,1.7045168376167665,20.771209121992083,3.8890606013129223,8.6671910690097,14.612327151731977
CASE 2 (130).JPG,2,135,207.24039698282544,14.613414822787291,1.5957921082557902,38.90653527033816,6.028893561853811,14.50516730558145,13.106995134784531
CASE 2 (130).JPG,3,100,2.087819601863726,8.898776732116598,0.08451674693556381,25.648682965994244,4.7824041175126375,8.809788964795427,7.375271978120519
CASE 2 (131).JPG,1,262,865.8178691827541,32.49497176120694,1.4816989837649848,89.47223766992163,9.29835927364233,32.37094515143132,14.669434872509997
CASE 2 (131).JPG,2,120,1552.3967052614773,29.79004397205068,2.210137548971943,78.17505352480212,8.542909242963118,29.541793605616906,14.535402270964985
